name,protocols,tvl,timestamp
Ethereum,1549,85775264580.18,2025-08-07T19:30:03.271755
Solana,282,10039113173.21,2025-08-07T19:30:03.271910
BSC,0,6814189780.95,2025-08-07T19:30:03.271609
Bitcoin,131,6794017960.53,2025-08-07T19:30:03.272013
Tron,81,5984072499.52,2025-08-07T19:30:03.272235
Base,593,4311815177.09,2025-08-07T19:30:03.271749
Arbitrum,871,3061973497.68,2025-08-07T19:30:03.271764
Hyperliquid L1,64,2122039317.8,2025-08-07T19:30:03.271581
Sui,81,2097986150.63,2025-08-07T19:30:03.272251
Avalanche,501,1911430244.65,2025-08-07T19:30:03.271613
Polygon,667,1200366536.33,2025-08-07T19:30:03.271768
Aptos,77,901608271.75,2025-08-07T19:30:03.272038
Unichain,41,673420023.33,2025-08-07T19:30:03.272062
Sei,56,628477509.55,2025-08-07T19:30:03.273002
Cronos,129,550956579.14,2025-08-07T19:30:03.271897
OP Mainnet,0,446897968.92,2025-08-07T19:30:03.271760
Sonic,153,442297013.48,2025-08-07T19:30:03.271732
Bitlayer,30,436617757.14,2025-08-07T19:30:03.273440
CORE,67,385609565.5,2025-08-07T19:30:03.271828
Katana,11,384498528.97,2025-08-07T19:30:03.271813
Berachain,79,370873817.39,2025-08-07T19:30:03.272879
PulseChain,0,343290325.6,2025-08-07T19:30:03.273102
Cardano,71,322942481.07,2025-08-07T19:30:03.272536
Gnosis,0,319986203.11,2025-08-07T19:30:03.271605
Rootstock,0,267608728.69,2025-08-07T19:30:03.271776
dYdX,4,261429881.69,2025-08-07T19:30:03.273574
Plume Mainnet,35,259992223.45,2025-08-07T19:30:03.271597
Linea,145,247569116.77,2025-08-07T19:30:03.271801
Mantle,124,239715133.19,2025-08-07T19:30:03.271533
Hydration,0,211734940.04,2025-08-07T19:30:03.273465
Vaulta,0,193264452.5,2025-08-07T19:30:03.272353
Near,37,161385207.81,2025-08-07T19:30:03.272366
BOB,28,157679293.04,2025-08-07T19:30:03.272145
TON,79,151201948.93,2025-08-07T19:30:03.273051
Stellar,20,142614238.99,2025-08-07T19:30:03.272255
Flare,25,140021587.73,2025-08-07T19:30:03.272084
Kava,147,134279625.58,2025-08-07T19:30:03.271585
TAC,8,130956981.99,2025-08-07T19:30:03.271537
